screen_name,lon,lat
cdauverchain,3.8767160000000005,43.610769
barbelon,-0.414179,46.06671
nicopastis,8.9069465,45.7104402
gael201099,-0.57918,44.837789
cimedudiable,7.0064910000000005,43.602331899999996
mistercool87,1.261105,45.83361900000001
citoyens31,1.444209,43.604652
Mariesylvain5,3.386482,45.295564
virginie_974,55.536384,-21.115141
aysegul_koker,2.3522218999999995,48.856614
JanisRubys,2.439712,48.908612
dimil54,6.34964,48.623019
Xaxa58579746,104.990963,12.565679
angielouli,1.6760691000000003,44.53793579999999
KZaaaH,1.444209,43.604652
toulzemaurice,3.215795,43.344233
SyloooOooo,-105.12874359999999,39.810953999999995
leflaneur34,2.3522218999999995,48.856614
saintmauxe,3.2997126000000003,48.132588399999996
ArthurDeborde,2.5091419999999998,48.865204999999996
insoumisCbv,2.25929,48.900552000000005
TwittL12,6.1878074,48.699803
LovephilC,2.213749,46.227638
BOULETJacqueli1,4.360054,43.836698999999996
farniente161,7.2983961,48.0591629
mordred_pan,2.130122,48.801408
magafrance,5.7884972,45.1200999
Entheosias,2.2971898,48.8849962
ShowIsere,5.663678,45.206646
RN51612279,1.444209,43.604652
jamesflying7,2.6370411,48.849919799999995
leduc80429910,-81.4529196,40.8551396
bonomiamor69,4.6108043,45.7351456
dupond_et,-0.7532808999999999,43.3269942
opetit0510,5.04148,47.322047
iCrouigneau,2.130122,48.801408
FerreuxMarc,-2.9326435,48.2020471
fauvegibbs,5.1268839999999996,43.922443
anne_morantin,0.45023679999999994,44.247017299999996
MCArnautu,-73.8938426,40.74672279999999
takavnir,-3.3263675999999998,48.5108101
toibi,-73.71578199999998,41.032206
Gd13Bigeard,-73.6038203,45.5231354
Defensmusic,-157.8583333,21.3069444
TiTiKnty,2.3913932,48.900739200000004
DeCastroStephy,7.752111299999998,48.5734053
Yann13k,-118.40390670000001,34.068695
AnneFarmer65,3.2827625,43.8927232
morandiniblog,2.3522218999999995,48.856614
Infirmier0,5.36978,43.296482
